State,Andhra Pradesh,Assam,Bihar,Chhattisgarh,Delhi,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Meghalaya,Odisha,Punjab,Rajasthan,Tamil Nadu,Telangana,Uttar Pradesh,Uttarakhand,West Bengal,Grand Total
Jan-17,11.32%,0.00%,1.18%,0.68%,0.00%,13.09%,3.36%,0.00%,0.05%,0.96%,10.48%,0.63%,2.38%,9.35%,0.34%,1.92%,0.80%,21.43%,8.20%,2.59%,8.80%,0.00%,2.44%,100.00%
Feb-17,10.63%,0.00%,1.23%,0.65%,0.00%,13.00%,3.07%,0.00%,0.09%,1.01%,10.81%,0.65%,2.82%,9.02%,0.37%,1.74%,0.92%,22.24%,8.27%,2.34%,8.94%,0.00%,2.20%,100.00%
Mar-17,10.33%,0.00%,1.31%,0.65%,0.00%,13.97%,3.73%,0.00%,0.04%,0.99%,10.08%,0.65%,3.08%,9.67%,0.34%,1.62%,0.89%,19.94%,9.10%,2.46%,8.64%,0.00%,2.48%,100.00%
Apr-17,10.63%,0.00%,1.38%,0.65%,0.00%,14.35%,3.63%,0.00%,0.04%,0.94%,9.58%,0.66%,3.00%,9.78%,0.31%,1.65%,0.83%,19.10%,9.34%,2.51%,8.86%,0.00%,2.74%,100.00%
May-17,11.16%,0.00%,1.39%,0.57%,0.00%,13.52%,3.87%,0.00%,0.07%,0.97%,9.67%,0.69%,3.14%,9.32%,0.34%,1.80%,1.00%,17.92%,9.70%,2.63%,9.43%,0.00%,2.83%,100.00%
Jun-17,10.82%,0.00%,1.38%,0.59%,0.00%,13.32%,3.77%,0.00%,0.05%,0.97%,8.60%,0.65%,3.02%,8.82%,0.34%,1.76%,0.98%,17.30%,10.02%,2.63%,12.24%,0.00%,2.74%,100.00%
Jul-17,10.59%,0.00%,1.39%,0.64%,0.00%,12.80%,3.64%,0.00%,0.03%,0.93%,8.85%,0.71%,3.08%,8.81%,0.30%,1.73%,0.94%,16.34%,10.88%,2.54%,13.06%,0.00%,2.73%,100.00%
Aug-17,9.85%,0.00%,1.50%,0.63%,0.00%,12.38%,3.57%,0.00%,0.04%,0.94%,10.42%,0.78%,2.99%,8.67%,0.22%,1.56%,0.83%,16.00%,11.28%,2.52%,13.18%,0.00%,2.62%,100.00%
Sep-17,9.18%,0.00%,1.74%,0.59%,0.00%,12.48%,4.02%,0.00%,0.08%,0.93%,10.56%,0.72%,2.98%,8.89%,0.26%,1.62%,1.00%,15.55%,11.24%,2.25%,13.28%,0.03%,2.62%,100.00%
Oct-17,8.88%,0.00%,1.87%,0.62%,0.00%,11.99%,4.29%,0.00%,0.13%,0.89%,9.45%,0.76%,2.97%,8.94%,0.28%,1.71%,1.13%,15.35%,12.24%,2.32%,13.43%,0.05%,2.70%,100.00%
Nov-17,8.20%,0.00%,1.98%,0.69%,0.00%,12.75%,4.41%,0.00%,0.14%,0.87%,10.20%,0.78%,2.98%,9.00%,0.28%,1.68%,1.17%,15.08%,11.88%,2.32%,12.53%,0.05%,3.01%,100.00%
Dec-17,8.45%,0.00%,1.99%,0.71%,0.00%,12.13%,4.40%,0.00%,0.08%,0.87%,10.86%,0.97%,2.76%,8.64%,0.28%,1.68%,1.12%,14.51%,12.75%,3.09%,11.81%,0.04%,2.85%,100.00%
Jan-18,8.72%,0.00%,1.78%,0.72%,0.01%,12.01%,4.78%,0.00%,0.09%,0.88%,10.69%,1.04%,2.72%,8.29%,0.28%,1.51%,1.25%,14.29%,13.14%,3.55%,11.34%,0.05%,2.87%,100.00%
Feb-18,8.26%,0.00%,1.84%,0.69%,0.01%,11.68%,5.62%,0.00%,0.10%,0.92%,10.56%,0.99%,2.79%,8.14%,0.26%,1.50%,1.56%,14.35%,13.19%,3.31%,11.36%,0.05%,2.80%,100.00%
Mar-18,8.39%,0.00%,1.78%,0.66%,0.01%,11.26%,6.26%,0.00%,0.10%,0.88%,10.47%,1.07%,2.69%,8.23%,0.26%,1.48%,1.79%,13.84%,13.64%,3.42%,11.00%,0.05%,2.72%,100.00%
Apr-18,8.32%,0.00%,1.69%,0.62%,0.01%,10.89%,7.20%,0.00%,0.09%,0.82%,10.47%,1.14%,2.62%,8.11%,0.26%,1.40%,1.92%,13.64%,13.91%,3.47%,10.82%,0.05%,2.52%,100.00%
May-18,8.37%,0.00%,1.79%,0.60%,0.01%,10.48%,7.73%,0.00%,0.10%,0.84%,10.20%,1.22%,2.51%,8.02%,0.26%,1.40%,2.45%,12.98%,14.35%,3.37%,10.56%,0.05%,2.71%,100.00%
Jun-18,9.21%,0.00%,1.68%,0.58%,0.02%,9.97%,7.81%,0.00%,0.09%,0.80%,9.98%,1.13%,2.73%,7.75%,0.23%,1.32%,3.47%,12.71%,14.26%,3.36%,10.25%,0.07%,2.59%,100.00%
Jul-18,9.27%,0.00%,1.64%,0.56%,0.02%,9.26%,8.28%,0.00%,0.08%,0.80%,9.99%,1.20%,2.90%,7.51%,0.25%,1.21%,4.12%,11.74%,14.76%,3.47%,10.18%,0.07%,2.69%,100.00%
Aug-18,9.31%,0.00%,1.46%,0.58%,0.02%,10.02%,8.24%,0.00%,0.10%,0.79%,10.07%,0.67%,3.00%,7.89%,0.24%,1.19%,4.19%,11.93%,14.70%,3.49%,9.42%,0.08%,2.63%,100.00%
